,Title,Budget,Movie ID,Revenue
6,Automata,7000000,262543,0
19,Love and Monsters,30000000,590223,0
24,The Runner,6000000,277546,0
27,City of Joy,27000000,47821,14683921
30,Next Gen,22000000,523777,0
39,The Spy Next Door,28000000,23172,45236543
43,Elstree 1976,370000,322506,0
45,ATM,3000000,89691,3010
48,One Day,15000000,51828,59389433
50,Shutter Island,80000000,11324,294804195
59,Black Panther,200000000,284054,1346739107
61,Frequency,31000000,10559,68106245
64,Ben 10 Alien Swarm,40000000,25642,0
65,Big Miracle,40000000,78698,24719215
77,Escobar: Paradise Lost,17000000,255343,3758328
79,Long Shot,40000000,459992,53847136
87,Domino,50000000,9923,22944502
110,Steamin' & Dreamin': The Grandmaster Cash Story,260,134112,0
112,The Hurricane Heist,35000000,430040,32517248
118,Leap Year,19000000,25195,29922472
121,USS Indianapolis: Men of Courage,40000000,340945,2158568
122,A Wrinkle in Time,103000000,407451,132675864
129,Raising the Bar,600000,396289,0
135,Bonding,463,451902,0
137,20 Feet from Stardom,1000000,159014,5892466
140,The Bad Batch,6000000,316154,180851
144,Sarah's Key,10000000,53457,17511906
150,Maniac,6000000,103620,31081
173,Vincent N Roxxy,5000000,300672,0
176,Miss Julie,5500000,230266,5000000
179,The Endless,1000000,430231,956425
193,Forget Me Not,1300000,27588,0
198,Ancient Aliens Debunked,15000,139860,0
204,The Witch,3500000,310131,40423945
206,I Am Wrath,18000000,332411,0
207,"As Above, So Below",5000000,256274,40100000
208,Scott Pilgrim vs. the World,60000000,22538,47664559
209,ARQ,2000000,410199,0
222,The Outsider,4000000,241765,0
240,Kingsman: The Secret Service,81000000,207703,414351546
241,First They Killed My Father,24000000,433247,0
242,Gagarin: First in Space,7000000,199327,0
243,Janaan,1500000,416238,3000000
247,The Hobbit: The Battle of the Five Armies,250000000,122917,956019788
251,Cowspiracy: The Sustainability Secret,117,282297,0
257,Bleach,3598902,420426,4001919
274,Shanghai Fortress,30000000,559957,0
278,Unbelievable!!!!!,2500000,329621,0
284,Turbo,135000000,77950,282570682
292,The Forgotten,42000000,10145,117592831
294,Eat Pray Love,60000000,38167,204594016
300,American Psycho,7000000,1359,34266564
301,Dante's Peak,116000000,9619,178127760
303,First Kill,10000000,410554,0
305,Igor,25000000,14248,30700000
309,Mr. Woodcock,22000000,13257,0
310,My Sister's Keeper,30000000,10024,95714875
311,Mystic River,25000000,322,156822020
314,Open Season,85000000,7484,197309027
316,Poseidon,160000000,503,181674817
320,Stripes,10000000,10890,85300000
321,Superbad,20000000,8363,121463226
322,The Bridge,25000,1666,179780
324,The Lake House,40000000,2044,114830111
325,The Last Exorcism,1800000,38358,67738090
327,The Taking of Pelham 1 2 3,100000000,18487,150166126
332,You Don't Mess with the Zohan,90000000,10661,201596308
335,Brick,475000,9270,3919254
336,Carbon Copy,6000000,53922,9566593
342,Murder Party,190000,13561,0
345,Sisters,30000000,266294,105011053
349,Terrifier,100000,420634,0
353,The River Wild,45000000,8987,94216343
378,Maniac,6000000,103620,31081
385,Naruto the Movie: Guardians of the Crescent Moon Kingdom,25000000,18861,0
